step,wall_time,correct_move_selection_rate,correct_piece_selection_rate,perfect_move_rate
512,1745172615.6348915,0.0,,
512,1745172615.6349094,,1.0,
512,1745172615.6349263,,,0.0
1536,1745172655.9437408,0.0,,
1536,1745172655.9437573,,0.0,
1536,1745172655.9437745,,,0.0
2560,1745172695.0633075,0.0,,
2560,1745172695.0633247,,1.0,
2560,1745172695.0633426,,,0.0
4608,1745172766.9961371,0.0,,
4608,1745172766.996155,,0.0,
4608,1745172766.9961715,,,0.0
5632,1745172805.2673936,0.0,,
5632,1745172805.2674103,,1.0,
5632,1745172805.2674263,,,0.0
6144,1745172824.3718746,0.0,,
6144,1745172824.3718913,,1.0,
6144,1745172824.371907,,,0.0
6656,1745172843.6266408,0.0,,
6656,1745172843.6266577,,0.0,
6656,1745172843.6266742,,,0.0
7680,1745172882.2013884,0.0,,
7680,1745172882.201438,,1.0,
7680,1745172882.2015502,,,0.0
8192,1745172901.7720106,0.0,,
8192,1745172901.7720268,,1.0,
8192,1745172901.7720435,,,0.0
9728,1745172960.6791153,0.0,,
9728,1745172960.6791315,,1.0,
9728,1745172960.679148,,,0.0
11776,1745173041.5823689,0.0,,
11776,1745173041.5823846,,1.0,
11776,1745173041.5824,,,0.0
12288,1745173064.3703043,0.0,,
12288,1745173064.3703215,,1.0,
12288,1745173064.370338,,,0.0
12800,1745173085.6465623,0.0,,
12800,1745173085.6465778,,1.0,
12800,1745173085.6465952,,,0.0
13312,1745173105.6368124,0.0,,
13312,1745173105.6368299,,1.0,
13312,1745173105.6368463,,,0.0
15360,1745173186.7827477,0.0,,
15360,1745173186.782764,,0.0,
15360,1745173186.7827806,,,0.0
15872,1745173205.2991676,0.0,,
15872,1745173205.2991843,,1.0,
15872,1745173205.2992005,,,0.0
16384,1745173223.2342892,0.0,,
16384,1745173223.2343066,,0.0,
16384,1745173223.2343233,,,0.0
16896,1745173241.2324102,0.0,,
16896,1745173241.2324302,,1.0,
16896,1745173241.23245,,,0.0
17408,1745173260.1045418,0.0,,
17408,1745173260.104612,,1.0,
17408,1745173260.104637,,,0.0
17920,1745173279.63911,0.0,,
17920,1745173279.6391342,,1.0,
17920,1745173279.6391573,,,0.0
18432,1745173301.146904,0.0,,
18432,1745173301.146921,,0.0,
18432,1745173301.1469376,,,0.0
18944,1745173320.0424123,0.0,,
18944,1745173320.0424342,,1.0,
18944,1745173320.042454,,,0.0
19456,1745173340.3348215,0.0,,
19456,1745173340.3348386,,0.0,
19456,1745173340.3348553,,,0.0
19968,1745173358.6597095,0.0,,
19968,1745173358.659727,,1.0,
19968,1745173358.6597435,,,0.0
21504,1745173414.6719308,0.0,,
21504,1745173414.6719482,,0.0,
21504,1745173414.6719654,,,0.0
22016,1745173433.1697223,0.0,,
22016,1745173433.1697383,,1.0,
22016,1745173433.1697545,,,0.0
23552,1745173488.145576,0.0,,
23552,1745173488.1456041,,0.0,
23552,1745173488.1456242,,,0.0
24064,1745173506.6033952,0.0,,
24064,1745173506.603412,,1.0,
24064,1745173506.6034284,,,0.0
25088,1745173542.3771484,0.0,,
25088,1745173542.3771641,,0.0,
25088,1745173542.3771799,,,0.0
25600,1745173559.596426,0.0,,
25600,1745173559.5964422,,1.0,
25600,1745173559.5964582,,,0.0
26112,1745173579.57799,0.0,,
26112,1745173579.5780156,,0.0,
26112,1745173579.578041,,,0.0
26624,1745173597.027467,1.0,,
26624,1745173597.0274832,,1.0,
26624,1745173597.0274987,,,1.0
27648,1745173634.7848237,0.0,,
27648,1745173634.7848952,,1.0,
27648,1745173634.7849286,,,0.0
28160,1745173652.6549964,0.0,,
28160,1745173652.6550126,,0.0,
28160,1745173652.6550288,,,0.0
28672,1745173670.8298619,0.0,,
28672,1745173670.8298795,,1.0,
28672,1745173670.8298953,,,0.0
29184,1745173688.9336057,0.0,,
29184,1745173688.9336689,,1.0,
29184,1745173688.9336903,,,0.0
31744,1745173779.4328482,0.0,,
31744,1745173779.4328637,,1.0,
31744,1745173779.4328804,,,0.0
32256,1745173798.3282044,0.0,,
32256,1745173798.328221,,0.0,
32256,1745173798.3282378,,,0.0
32768,1745173816.5018961,0.0,,
32768,1745173816.501912,,0.0,
32768,1745173816.5019271,,,0.0
33280,1745173834.7118006,0.0,,
33280,1745173834.7118185,,0.0,
33280,1745173834.7118356,,,0.0
33792,1745173852.184657,0.0,,
33792,1745173852.1848476,,0.0,
33792,1745173852.1848912,,,0.0
34304,1745173870.178305,0.0,,
34304,1745173870.178329,,1.0,
